Year,GDP,POP,ELD,FER,TRADE,EXP,FDI,CO2,GREEN,INV,TAX,HEA,VAL,Inflation,LTI,LWL,HOU,SAV,IPD,LPD
1971,3.505,0.32,13.235,-4.77,1.337,21.875,1.196,11.823,-0.26,1.995,9.458,4.017,3.801,9.44,7.868,22.896,3.186,7.980,74.035,42.163
1972,4.322,0.26,13.428,-5.01,-0.120,20.620,0.711,11.562,-1.82,-0.039,8.996,4.088,4.390,7.07,8.375,22.962,6.361,6.882,75.331,44.652
1973,6.524,0.2,13.621,-5.28,-2.341,22.432,1.414,11.746,5.01,6.542,8.419,4.019,6.813,9.20,10.558,23.736,5.538,7.213,82.112,45.447
1974,-2.484,0.15,13.843,-2.79,-4.848,26.802,2.122,10.984,-4.61,-1.951,8.605,4.647,-2.284,16.04,14.207,22.030,-1.623,4.574,80.481,45.126
1975,-1.474,0.11,14.052,-2.87,-1.716,25.384,1.373,10.736,-1.71,-1.892,8.549,4.933,-1.429,24.21,13.182,19.624,-0.133,3.697,76.133,44.762
1976,2.91,0.06,14.226,-2.95,-1.133,27.993,1.292,10.655,1.88,1.727,8.641,4.949,2.696,16.56,13.610,18.602,0.493,4.486,78.594,46.746
1977,2.458,0.03,14.42,-3.04,0.691,29.651,1.683,10.762,1.07,-1.532,8.586,4.846,2.318,15.84,12.028,17.402,-0.398,5.202,82.676,48.362
1978,4.204,0,14.622,-3.14,1.306,27.994,1.128,10.767,-0.36,2.513,8.275,4.798,3.736,8.26,12.065,18.425,5.352,5.301,85.004,50.671
1979,3.749,0,14.789,0.52,0.357,27.361,1.474,11.465,5.59,2.620,7.942,4.74,3.342,13.42,12.946,19.066,4.366,4.944,86.847,52.257
1980,-2.031,0.01,14.953,0.52,2.177,26.599,1.792,10.287,-8.02,-4.749,9.749,5.063,-1.990,17.97,13.913,18.830,-0.085,3.351,80.807,52.784
1981,-0.788,0.02,15.039,0.51,2.818,25.964,1.087,9.955,-2.13,-8.732,9.606,5.285,-0.532,11.88,14.883,18.814,0.163,2.392,77.527,55.933
1982,1.995,0.04,15.053,0.51,1.898,25.617,1.051,9.741,-2.1,6.011,10.9,5.123,2.286,8.60,13.085,19.012,1.092,2.559,77.712,57.588
1983,4.222,0.06,14.957,0.51,0.958,25.746,1.058,9.688,-1.24,5.046,10.331,5.321,4.192,4.61,11.268,18.980,4.196,3.017,79.731,60.635
1984,2.269,0.1,14.887,0.68,-0.064,27.523,-0.075,9.382,-4.24,9.094,10.899,5.237,1.953,4.96,11.128,19.813,2.315,3.205,80.243,60.072
1985,4.147,0.14,15.167,0.67,1.102,27.875,1.119,9.900,4.89,4.169,11.057,5.14,4.357,6.07,10.970,20.103,3.885,3.284,84.369,60.763
1986,3.15,0.19,15.361,0.67,-0.604,24.827,1.425,10.035,2.54,2.195,11.014,5.125,2.874,3.43,10.135,20.439,6.464,2.685,86.212,62.354
1987,5.393,0.24,15.522,0.66,-0.939,24.346,1.755,10.068,-0.04,9.478,10.704,5.178,5.316,4.15,9.571,20.891,5.504,2.976,89.775,64.657
1988,5.732,0.27,15.618,0.66,-3.273,21.926,2.904,10.021,0.27,14.845,10.653,5.089,5.630,4.16,9.676,21.224,7.757,2.965,94.413,64.555
1989,2.578,0.28,15.706,-0.65,-3.654,22.391,2.925,10.192,-1.52,6.098,10.282,5.037,2.656,5.76,10.191,21.356,3.490,2.993,96.388,64.822
1990,0.734,0.28,15.73,-0.66,-1.857,23.072,3.784,9.724,-2.39,-2.211,10.197,5.09,0.972,8.06,11.803,21.183,0.975,2.220,96.414,65.519
1991,-1.103,0.27,15.772,-0.66,-0.382,22.346,2.034,9.932,2.01,-6.329,10.527,5.486,-0.708,7.46,10.105,20.691,-2.063,1.474,93.195,66.851
1992,0.401,0.27,15.807,-0.67,-0.720,22.670,1.951,9.604,-2.86,0.899,10.725,5.935,0.556,4.59,9.063,20.910,1.576,1.039,93.608,70.037
1993,2.49,0.27,15.831,-0.67,-0.367,24.558,1.855,9.365,-2.25,1.559,10.529,6.003,2.538,2.56,7.480,20.817,4.336,1.139,95.623,72.601
1994,3.846,0.28,15.821,-0.45,-0.027,25.790,1.715,9.252,-1.48,6.396,10.766,6.078,3.601,2.22,8.122,20.728,3.519,2.449,100.681,74.379
1995,2.532,0.29,15.848,-0.45,0.273,25.555,2.171,9.037,-1.27,4.740,10.353,5.573,2.212,2.70,8.200,21.304,2.164,2.655,102.449,75.420
1996,2.492,0.31,15.857,-0.45,0.168,26.150,2.290,9.364,2.82,4.668,10.378,5.563,2.344,2.85,7.810,21.105,3.696,2.723,103.848,76.582
1997,4.975,0.33,15.851,-0.46,0.447,25.564,3.293,8.957,-2.94,-1.568,10.404,6.827,3.014,2.20,7.053,20.984,5.076,3.545,106.610,78.978
1998,3.708,0.35,15.853,-0.46,-0.677,24.150,6.649,8.977,-0.51,7.798,10.557,6.966,3.433,1.82,5.551,21.282,4.161,4.154,107.467,81.283
1999,3.295,0.35,15.809,-0.92,-1.434,23.935,7.722,8.902,-3.69,1.889,10.766,7.147,3.042,1.75,5.094,20.578,4.481,2.648,108.652,83.281
